T,gebruik waterstof,waterstof stock,cashflow WA,TMK bot,TMK top,onbalansstroom inkopen PL,onbalansstroom verkopen PL
257,0,45.070423,25192.25,0,-24758.29883,0,0
258,0,45.070423,41675.05078,0,-8275.499023,49,0
259,0,45.070423,66780.35156,0,16829.80078,121,0
260,0,60.563381,38947.25,0,-11003.14453,0,0
261,0,89.436623,42221.04688,0,-7729.057617,0,0
262,0,117.605637,20401.54883,0,-29548.27539,0,0
263,29.977234,67.543655,37762.59766,299.772339,-12187.72656,87.022766,0
264,0,93.599991,43314.94922,0,-6635.112793,0,0
265,0,93.599991,55313.05078,0,5362.986816,4,0
266,0,93.599991,68988.14844,0,19038.08398,216,0
267,40,26.799992,45036,400,-4914.733398,47,0
268,0,26.799992,50738.84766,0,788.116394,131,0
269,0,26.799992,46502.25,0,-3448.483154,102,0
270,0,26.799992,54146.94922,0,4196.216309,0,140
271,0,26.799992,69855.60156,0,19904.86719,34,0
272,0,66.799988,88355,0,38404.66797,0,91.200005
273,39.999992,0,80930.35156,399.999939,30979.34961,137,0
274,0,0,74362.05469,0,24411.05078,87,0
275,0,14.084508,113794.25,0,63843.39063,0,0
276,0,14.084508,106852.1016,0,56901.24609,17,0
277,0,54.084507,112642.3984,0,62691.94141,0,102.200005
278,0,54.084507,79583.75,0,29633.29102,145,0
279,0,70.985916,89545.25,0,39594.96094,0,0
280,0,70.985916,113518.75,0,63568.46094,101,0
281,0,70.985916,117140.8516,0,67190.5625,226,0
282,0,87.887321,149690.25,0,99740.125,0,0
283,0,87.887321,119972.4063,0,70022.28125,52,0
284,0,87.887321,84968.65625,0,35018.53125,18,0
285,0,127.887321,99976.51563,0,50026.79297,0,28.200003
286,40,61.087322,74023,400,24072.61328,36,0
287,0,101.087326,76073.83594,0,26123.84375,0,38.200001
288,40,34.287327,60171.85156,400,10221.19336,39,0
289,0,34.287327,102595.25,0,52644.59375,156,0
290,0,74.287323,56880.32031,0,6930.064453,0,115.200005
291,40,7.487325,67953.29688,400,18002.37305,19,0
292,0,8.895776,69967.75,0,20016.83984,0,0
293,0,8.895776,68639.25,0,18688.33984,15,0
294,0,8.895776,81525.14844,0,31574.23828,128,0
295,5.326812,0,96880.09375,53.26812,46929.09375,82.673187,0
296,0,40,142544.4844,0,92593.88281,0,145.199997
297,0,80,203450.625,0,153500.4375,0,169.199997
298,40,13.200002,175823.5,400,125872.625,132,0
299,0,29.397184,240890,0,190939.2969,0,0
300,0,69.397186,204956.25,0,155005.9375,0,17.200003
301,6,59.377186,169230.75,60,119280.3438,0,0
302,0,75.574371,147651.9531,0,97701.71094,0,0
303,0,115.574371,117433.0078,0,67483.15625,0,178.199997
304,0,155.574371,126385.0078,0,76435.5625,0,104.200005
305,0,155.574371,142289.4063,0,92339.95313,103,0
306,0,155.574371,158884.5,0,108935.0625,201,0
307,0,155.574371,140474.6094,0,90525.15625,96,0
308,0,173.180008,157125.7969,0,107176.5234,0,0
309,0,173.180008,139427.6563,0,89478.39063,233,0
310,40,106.380013,108066.8984,400,58116.95703,94,0
311,0,146.380005,79147.85938,0,29198.32422,0,141.199997
312,10,129.680008,125412.3984,100,75462.69531,0,0
313,40,62.880009,134479.5938,400,84529.21875,54,0
314,0,62.880009,82693.60156,0,32743.23242,237,0
